"User ID","About Section","Skills to Teach","Skills to Learn","Skill Proficiency Level (Teach)","Skill Proficiency Level (Learn)","Average Rating (as Teacher)","Average Rating (as Learner)","Number of Reviews","Past Skill Swaps History","User Activity Score","Location","Preferred Learning Style","Preferred Teaching Style"
"U001","Passionate about design and helping others learn. I enjoy creative problem-solving and sharing my knowledge.","Graphic Design, Adobe Photoshop, UI/UX Basics","Web Development (Frontend), Python Programming","Advanced, Expert, Intermediate","Beginner, Beginner",4.8,4.5,25,"(Graphic Design, Web Development),(Adobe Photoshop, Python)",95,"New York, USA","Hands-on, Project-based","Demonstration, Patient guidance"
"U002","Software engineer looking to expand into creative fields. I love learning new things and collaborating.","Python Programming, Data Structures, Algorithms","Digital Painting, Creative Writing","Expert, Advanced, Advanced","Beginner, Intermediate",4.7,4.9,30,"(Python Programming, Digital Painting),(Data Structures, Creative Writing)",98,"San Francisco, USA","Conceptual, Self-paced","Structured, Problem-solving"
"U003","Experienced cook and baker. I find joy in teaching culinary skills and exploring new cuisines.","Baking (Pastries), Italian Cuisine, Knife Skills","Photography, Social Media Marketing","Expert, Advanced, Intermediate","Beginner, Beginner",4.9,4.6,40,"(Baking, Photography),(Italian Cuisine, Social Media Marketing)",92,"London, UK","Visual, Hands-on","Step-by-step, Encouraging"
"U004","Marketing professional eager to learn new tech skills. I'm a quick learner and enjoy practical applications.","Content Marketing, SEO, Social Media Strategy","Machine Learning, Data Analysis (R)","Advanced, Intermediate, Advanced","Beginner, Intermediate",4.6,4.7,20,"(Content Marketing, Machine Learning)",88,"Sydney, Australia","Practical, Case Study","Interactive, Discussion-based"
"U005","Artist and illustrator. I'm always looking to refine my craft and connect with other creatives.","Digital Illustration, Character Design, Procreate","Music Production, Video Editing","Advanced, Advanced, Expert","Beginner, Beginner",4.8,4.8,35,"(Digital Illustration, Music Production)",96,"Berlin, Germany","Experiential, Peer learning","Collaborative, Feedback-oriented"
"U006","Fitness enthusiast and certified trainer. I believe in holistic well-being and sharing healthy habits.","Personal Training, Nutrition Basics, Yoga","Financial Planning, Public Speaking","Expert, Intermediate, Advanced","Beginner, Intermediate",4.7,4.5,28,"(Personal Training, Financial Planning)",90,"Toronto, Canada","Kinesthetic, Goal-oriented","Motivational, Practical"
"U007","Language tutor and travel blogger. I love exploring cultures and helping people communicate.","Spanish Language (Conversational), English Language (ESL)","Web Design (HTML/CSS), Graphic Design","Expert, Advanced","Beginner, Intermediate",4.9,4.7,38,"(Spanish Language, Web Design)",94,"Madrid, Spain","Immersive, Conversational","Patient, Repetitive practice"
"U008","DIY enthusiast and handyman. I enjoy fixing things and building practical solutions.","Basic Carpentry, Home Repair, Electrical Basics","Gardening, Coding (JavaScript)","Advanced, Intermediate, Beginner","Beginner, Beginner",4.5,4.6,18,"(Basic Carpentry, Gardening)",85,"Austin, USA","Trial and Error, Visual","Demonstration, Hands-on"
"U009","Student passionate about environmental science. I want to apply my knowledge and learn new skills.","Environmental Science (Basics), Research Methods","Sustainable Living Practices, Grant Writing","Intermediate, Intermediate","Beginner, Beginner",4.6,4.8,15,"(Environmental Science, Sustainable Living)",89,"Vancouver, Canada","Inquiry-based, Reading","Lecture, Q&A"
"U010","Photographer and videographer. I'm always seeking new perspectives and technical skills.","Portrait Photography, Video Editing (Premiere Pro)","Sound Engineering, Animation (2D)","Advanced, Expert","Beginner, Intermediate",4.8,4.7,32,"(Portrait Photography, Sound Engineering)",97,"Paris, France","Visual, Experimental","Critique-based, Technical"
"U011","Aspiring writer and editor. I love storytelling and refining communication skills.","Creative Writing (Fiction), Copywriting","Digital Marketing, SEO","Advanced, Intermediate","Beginner, Intermediate",4.7,4.6,22,"(Creative Writing, Digital Marketing)",91,"Dublin, Ireland","Reflective, Feedback-driven","Workshop, Discussion"
"U012","Data analyst looking to improve soft skills and explore new domains.","Excel (Advanced), SQL, Data Visualization","Public Speaking, Negotiation Skills","Expert, Advanced, Intermediate","Beginner, Beginner",4.6,4.5,19,"(SQL, Public Speaking)",87,"Mumbai, India","Analytical, Problem-solving","Structured, Practical exercises"
"U013","Musician and composer. I enjoy teaching music and collaborating on creative projects.","Guitar (Acoustic), Music Theory, Songwriting","Mixing & Mastering, Web Development (Backend)","Advanced, Intermediate, Advanced","Beginner, Beginner",4.9,4.8,28,"(Guitar, Mixing & Mastering)",93,"Nashville, USA","Auditory, Practice-based","One-on-one, Jamming"
"U014","Healthcare professional interested in technology and personal growth.","First Aid, Basic Anatomy","Coding (Python), Meditation","Advanced, Intermediate","Beginner, Beginner",4.5,4.7,16,"(First Aid, Meditation)",86,"Melbourne, Australia","Observational, Experiential","Clear instructions, Patient"
"U015","Entrepreneur and business strategist. I enjoy mentoring and learning from others.","Business Strategy, Pitch Deck Creation, Networking","UX Research, Graphic Design","Expert, Advanced, Advanced","Beginner, Intermediate",4.8,4.6,27,"(Business Strategy, UX Research)",94,"Singapore","Mentorship, Hands-on","Strategic, Case Study"
